Age,Gender,Attrition,Department,Environment Satisfaction,Marital status,MonthlyIncome,YearsInCurrentRole,HourlyRate,Job responsibilities,JobSatisfaction,leftOrganizationInPast12mnths,Reasons for leaving,NumInstitutesWorked,PercentSalaryHike,RelationshipSatisfaction,DistanceFromHome,BusinessTravel,Education,EducationField,WorkLifeBalance,YearsAtOrganization,JobInvolvement,PerformanceRating,JobLevel
31,Male,No,Applied science,3,Married,7587,7,76,5,1,Yes,Compensation and benefits,1,12,4,8,Travel_Rarely,1,Marketing,3,8,3,3,1
21,Male,No,B.E.,3,Married,4258,3,41,5,4,Yes,Work-related stress,8,11,4,8,Travel_Rarely,2,Business Administration,3,12,3,3,5
29,Female,No,CSA,4,Married,4364,2,71,5,4,Yes,"Better job opportunities, Compensation and benefits",2,11,4,5,Travel_Rarely,2,Communications,3,5,3,3,3
35,Female,Yes,CSA,3,Married,4335,7,66,5,3,Yes,"Better job opportunities, Work-related stress, Compensation and benefits",1,18,3,10,Non-Travel,3,Computer Science,3,2,2,4,1
27,Male,Yes,Applied science,4,Divorced,5326,3,38,5,1,No,"Better job opportunities, Issues with management, Work-related stress",2,14,2,3,Non-Travel,2,Information Technology,2,3,2,3,2
28,Male,No,B.E.,2,Married,3280,2,72,3,4,No,Work-related stress,1,22,4,2,Travel_Rarely,3,Marketing,2,1,2,3,1
49,Male,No,CSA,2,Single,5485,3,95,5,1,Yes,"Better job opportunities, Issues with management, Work-related stress, Compensation and benefits, Lack of carrer growth",1,25,3,12,Travel_Frequently,1,Business Administration,3,24,2,3,3
51,Male,No,B.E.,3,Single,4342,2,84,4,4,Yes,Lack of carrer growth,1,12,3,2,Non-Travel,4,Communications,3,2,3,3,3
36,Female,No,Applied science,4,Married,2782,3,82,2,1,No,Lack of carrer growth,8,23,2,2,Travel_Rarely,1,Computer Science,3,4,3,4,2
34,Male,Yes,CSA,1,Single,5980,7,75,4,1,Yes,Work-related stress,1,15,2,4,Travel_Rarely,3,Information Technology,3,3,3,4,2
55,Female,No,CSA,3,Married,4381,5,86,5,1,No,Work-related stress,3,22,3,5,Travel_Frequently,4,Marketing,2,4,3,3,5
24,Male,Yes,B.E.,4,Single,2572,2,72,4,4,Yes,"Issues with management, Work-related stress",0,15,4,5,Non-Travel,3,Business Administration,3,3,3,3,4
30,Female,No,Applied science,3,Married,3833,2,38,4,3,Yes,Better job opportunities,1,11,1,5,Travel_Frequently,2,Communications,3,4,3,4,2
26,Male,No,B.E.,3,Married,4244,7,38,5,2,Yes,"Issues with management, Work-related stress",3,13,3,6,Travel_Rarely,3,Computer Science,2,8,2,3,2
22,Male,No,CSA,1,Single,6500,2,93,5,1,Yes,Work-related stress,4,14,4,5,Travel_Rarely,2,Information Technology,3,20,2,3,2
36,Male,No,Applied science,2,Single,18430,7,66,3,4,No,"Issues with management, Work-related stress",9,11,2,10,Travel_Rarely,3,Marketing,4,24,2,3,2
30,Female,No,CSA,3,Single,1601,0,63,5,1,Yes,Work-related stress,1,17,3,1,Travel_Rarely,3,Business Administration,3,10,2,3,1
37,Female,No,B.E.,4,Single,2694,0,60,4,2,No,Compensation and benefits,5,18,3,12,Travel_Frequently,2,Communications,2,7,3,4,1
40,Male,No,CSA,4,Married,3149,2,82,5,3,No,Compensation and benefits,2,14,3,7,Non-Travel,4,Computer Science,3,33,3,3,2
42,Male,No,Applied science,2,Single,17639,3,64,3,3,No,Issues with management,9,16,2,10,Travel_Rarely,3,Information Technology,3,7,2,3,1
37,Male,No,CSA,3,Divorced,2319,0,36,5,1,No,"Issues with management, Work-related stress",3,13,4,7,Travel_Rarely,1,Marketing,3,1,3,4,1
43,Male,Yes,Applied science,1,Single,11691,9,49,4,3,Yes,"Better job opportunities, Compensation and benefits",5,14,3,1,Non-Travel,4,Business Administration,1,5,3,3,5
40,Male,No,CSA,2,Divorced,5324,2,69,4,1,Yes,Lack of carrer growth,1,23,2,4,Travel_Frequently,4,Communications,3,20,3,3,2
54,Female,No,B.E.,1,Single,16752,14,33,4,4,No,"Work-related stress, Compensation and benefits",1,12,3,3,Travel_Rarely,2,Computer Science,3,8,3,3,1
34,Male,Yes,B.E.,3,Single,5228,7,35,4,2,No,"Issues with management, Compensation and benefits",8,11,1,15,Travel_Rarely,1,Information Technology,4,6,2,3,2
31,Male,No,CSA,2,Divorced,2700,7,81,4,3,Yes,Work-related stress,7,16,2,0,Travel_Rarely,3,Marketing,4,5,2,3,1
43,Male,No,Applied science,4,Single,19246,15,31,4,2,No,Better job opportunities,1,14,1,6,Travel_Frequently,3,Business Administration,3,1,2,3,4
43,Female,No,CSA,3,Married,2506,2,40,5,3,Yes,"Better job opportunities, Issues with management, Compensation and benefits",1,18,4,6,Travel_Rarely,1,Communications,2,7,3,3,1
25,Female,No,B.E.,2,Single,6062,3,43,5,4,Yes,"Issues with management, Compensation and benefits",1,19,2,5,Non-Travel,5,Computer Science,2,2,3,3,3
37,Male,No,B.E.,2,Single,4382,2,46,4,3,No,Work-related stress,9,15,1,2,Travel_Rarely,4,Information Technology,3,7,3,3,1
31,Male,Yes,Applied science,4,Single,2143,2,36,4,2,Yes,Lack of carrer growth,7,17,3,3,Travel_Rarely,4,Marketing,1,5,3,3,2
39,Female,Yes,B.E.,2,Divorced,6162,13,98,4,3,No,"Better job opportunities, Issues with management",1,15,3,4,Travel_Rarely,1,Business Administration,3,7,3,3,4
56,Male,Yes,CSA,3,Single,5094,0,51,4,3,No,Better job opportunities,1,19,4,5,Travel_Frequently,3,Communications,2,1,3,3,1
30,Female,Yes,Applied science,2,Married,6877,0,52,5,4,Yes,"Work-related stress, Lack of carrer growth",1,22,2,14,Travel_Rarely,4,Computer Science,3,10,3,3,2
41,Male,No,B.E.,2,Single,2274,0,95,2,3,No,"Better job opportunities, Work-related stress, Compensation and benefits",5,16,3,5,Non-Travel,3,Information Technology,3,4,3,3,2
28,Female,Yes,CSA,3,Married,4434,8,98,4,2,Yes,Work-related stress,5,13,4,8,Travel_Rarely,3,Marketing,1,8,3,3,3
25,Female,No,CSA,1,Single,6288,3,45,3,1,No,"Issues with management, Lack of carrer growth",3,14,3,50,Travel_Frequently,4,Business Administration,3,3,4,3,2
52,Male,No,B.E.,4,Single,2553,2,55,5,4,No,Better job opportunities,5,16,3,10,Travel_Frequently,3,Communications,3,4,4,3,2
45,Female,No,Applied science,1,Single,7654,8,43,5,4,No,Work-related stress,0,11,4,5,Travel_Frequently,3,Computer Science,2,14,4,3,3
52,Female,No,B.E.,4,Married,5160,7,37,5,4,Yes,"Issues with management, Work-related stress",6,22,4,4,Travel_Rarely,3,Information Technology,2,11,3,3,2
42,Male,No,CSA,1,Married,17159,1,94,5,1,Yes,Work-related stress,2,14,2,6,Travel_Rarely,2,Marketing,3,7,2,3,1
30,Male,No,Applied science,3,Married,12808,8,42,2,4,No,Better job opportunities,8,16,3,12,Travel_Rarely,4,Business Administration,3,10,3,3,2
60,Female,No,CSA,1,Married,10221,5,59,3,3,No,"Work-related stress, Compensation and benefits",6,11,4,54,Travel_Rarely,3,Communications,4,5,2,3,3
46,Female,Yes,B.E.,3,Divorced,4779,7,81,4,2,Yes,"Better job opportunities, Issues with management, Compensation and benefits",1,18,3,4,Travel_Rarely,3,Computer Science,3,1,3,3,1
42,Male,Yes,Applied science,4,Single,3737,2,88,4,4,Yes,Work-related stress,0,15,4,19,Travel_Rarely,4,Information Technology,3,6,3,3,3
24,Male,No,B.E.,1,Married,2366,7,88,5,3,Yes,Compensation and benefits,0,14,2,20,Travel_Rarely,3,Marketing,2,6,3,3,4
34,Male,No,CSA,4,Single,1706,0,50,4,4,Yes,"Work-related stress, Compensation and benefits",3,12,4,60,Travel_Rarely,4,Business Administration,3,19,4,3,1
38,Male,No,B.E.,4,Divorced,16307,6,66,4,3,No,"Issues with management, Work-related stress",4,14,3,4,Non-Travel,1,Communications,3,6,3,3,4
40,Male,No,Applied science,3,Single,5933,2,50,3,2,No,Lack of carrer growth,1,16,4,44,Travel_Rarely,3,Computer Science,3,13,3,3,2
26,Female,No,CSA,1,Married,3424,3,65,4,1,Yes,Better job opportunities,1,21,2,6,Travel_Rarely,1,Information Technology,3,3,3,3,1
30,Male,No,B.E.,3,Single,4037,8,48,4,1,No,"Work-related stress, Compensation and benefits, Lack of carrer growth",1,14,3,4,Travel_Rarely,3,Marketing,4,10,3,3,2
29,Male,Yes,CSA,2,Married,2559,5,53,4,1,No,"Issues with management, Work-related stress",7,12,3,20,Non-Travel,2,Business Administration,2,16,3,3,2
29,Male,No,Applied science,3,Single,6201,14,56,5,4,No,Compensation and benefits,1,12,2,2,Travel_Rarely,2,Communications,2,5,3,3,2
19,Female,No,CSA,1,Single,4403,2,73,4,4,No,"Better job opportunities, Issues with management, Work-related stress",8,17,3,2,Travel_Rarely,4,Computer Science,3,1,3,3,2
30,Male,No,CSA,3,Married,3761,4,75,4,4,Yes,Issues with management,3,17,3,15,Travel_Rarely,3,Information Technology,2,9,3,3,1
57,Female,No,B.E.,1,Married,10934,2,78,5,4,Yes,"Better job opportunities, Work-related stress, Lack of carrer growth",5,14,3,12,Travel_Frequently,3,Marketing,2,11,2,3,2
50,Male,No,B.E.,2,Single,10761,4,74,4,1,Yes,Work-related stress,5,14,2,6,Travel_Rarely,2,Business Administration,1,10,2,4,3
30,Male,No,CSA,3,Divorced,5175,3,91,5,3,No,"Better job opportunities, Work-related stress",7,13,3,6,Travel_Rarely,4,Communications,3,4,3,3,5
60,Female,Yes,Applied science,3,Married,13826,8,81,4,4,No,Issues with management,1,15,4,5,Travel_Rarely,2,Computer Science,4,2,3,3,2
47,Female,No,B.E.,1,Single,6334,0,66,4,3,No,"Better job opportunities, Issues with management",2,11,3,5,Travel_Frequently,3,Information Technology,4,22,3,3,2
46,Male,No,CSA,1,Single,4936,1,63,4,4,No,Better job opportunities,0,17,3,5,Travel_Frequently,4,Marketing,3,2,3,3,5
35,Female,No,B.E.,4,Single,4775,2,33,4,4,Yes,"Work-related stress, Compensation and benefits",7,11,3,6,Travel_Frequently,4,Business Administration,1,7,4,3,2
54,Male,No,Applied science,3,Single,2818,2,62,4,4,No,Work-related stress,0,13,3,12,Travel_Rarely,2,Communications,3,5,2,3,2
34,Male,Yes,B.E.,4,Married,2515,1,35,3,4,No,Compensation and benefits,2,22,3,6,Travel_Rarely,2,Computer Science,3,17,3,3,2
46,Female,Yes,CSA,3,Single,2342,4,77,4,1,Yes,Lack of carrer growth,1,20,3,8,Travel_Rarely,3,Information Technology,2,9,4,3,3
31,Female,No,B.E.,3,Single,4194,3,98,3,1,No,"Issues with management, Work-related stress",0,18,4,5,Travel_Rarely,4,Marketing,3,33,1,3,2
33,Male,Yes,Applied science,2,Single,10685,14,66,3,3,No,Work-related stress,9,11,4,9,Travel_Rarely,4,Business Administration,3,4,2,4,2
33,Male,No,B.E.,1,Single,2022,2,96,2,2,No,Compensation and benefits,1,14,1,5,Travel_Rarely,4,Communications,3,3,2,3,1
30,Female,Yes,CSA,4,Single,2314,0,61,3,4,No,"Work-related stress, Compensation and benefits",6,14,1,6,Travel_Rarely,2,Computer Science,2,3,3,3,1
35,Male,No,B.E.,4,Single,4256,2,87,3,1,No,Issues with management,2,18,3,22,Travel_Frequently,4,Information Technology,3,3,2,3,2
31,Male,No,CSA,1,Divorced,3580,2,36,2,1,Yes,"Better job opportunities, Issues with management, Compensation and benefits, Lack of carrer growth",4,16,1,15,Travel_Frequently,3,Marketing,2,1,3,3,2
34,Male,No,Applied science,2,Divorced,3162,2,46,4,4,No,"Issues with management, Compensation and benefits, Lack of carrer growth",6,17,3,5,Non-Travel,4,Business Administration,3,9,3,3,2
42,Female,No,CSA,2,Single,6524,8,48,5,2,Yes,Issues with management,0,11,4,10,Travel_Rarely,3,Communications,3,24,3,3,3
36,Male,No,Applied science,2,Married,2899,2,98,4,2,No,Work-related stress,1,12,4,4,Travel_Rarely,2,Computer Science,3,2,3,3,3
22,Female,No,CSA,3,Married,5231,3,95,4,4,Yes,"Better job opportunities, Work-related stress",3,13,3,6,Travel_Rarely,2,Information Technology,3,2,2,3,2
48,Male,No,B.E.,2,Married,2356,4,48,3,4,Yes,Work-related stress,2,13,1,7,Travel_Rarely,3,Marketing,3,11,1,3,3
55,Female,No,Applied science,1,Married,2800,2,48,2,3,No,"Work-related stress, Compensation and benefits",0,14,4,6,Travel_Rarely,3,Business Administration,3,3,3,3,1
41,Male,No,CSA,4,Married,11836,0,73,5,4,No,"Work-related stress, Compensation and benefits",0,17,4,9,Non-Travel,2,Communications,3,3,1,3,2
35,Female,No,Applied science,2,Divorced,10903,10,78,4,2,Yes,Lack of carrer growth,0,11,3,14,Travel_Rarely,3,Computer Science,3,1,3,3,2
40,Male,No,CSA,2,Single,2973,4,54,4,4,Yes,Compensation and benefits,1,25,3,5,Travel_Rarely,2,Information Technology,3,19,1,3,4
39,Male,No,B.E.,3,Married,14275,9,72,4,4,No,"Work-related stress, Compensation and benefits",0,19,1,7,Travel_Rarely,3,Marketing,2,6,1,3,2
31,Male,No,CSA,2,Married,5562,2,33,4,4,Yes,"Work-related stress, Compensation and benefits",1,13,3,8,Non-Travel,2,Business Administration,4,3,4,3,1
42,Female,Yes,B.E.,4,Married,4537,6,35,4,4,Yes,Work-related stress,3,14,4,14,Travel_Rarely,1,Communications,1,3,3,3,1
45,Female,No,Applied science,4,Single,7642,0,32,3,2,Yes,"Work-related stress, Compensation and benefits, Lack of carrer growth",4,12,2,10,Travel_Rarely,3,Computer Science,3,4,4,4,3
26,Male,No,CSA,2,Married,17924,6,98,4,1,Yes,Compensation and benefits,3,11,2,8,Travel_Rarely,4,Information Technology,3,9,3,3,2
29,Female,Yes,Applied science,4,Single,5204,4,42,3,4,No,"Work-related stress, Compensation and benefits",2,19,2,13,Non-Travel,3,Marketing,2,21,2,3,2
33,Male,No,CSA,1,Single,2277,3,57,3,2,No,"Issues with management, Work-related stress",2,11,3,5,Travel_Rarely,3,Business Administration,1,1,3,3,2
31,Male,No,B.E.,3,Single,2795,0,87,2,4,Yes,Better job opportunities,0,11,3,6,Travel_Rarely,2,Communications,3,5,3,4,2
18,Male,No,Applied science,2,Divorced,2532,3,62,3,4,No,"Issues with management, Work-related stress, Compensation and benefits",1,20,4,6,Travel_Frequently,2,Computer Science,3,5,4,3,1
40,Female,No,B.E.,3,Married,2559,7,61,3,1,Yes,Compensation and benefits,0,18,3,8,Travel_Rarely,3,Information Technology,3,8,3,3,2
41,Male,No,B.E.,1,Married,4908,2,98,2,4,No,Compensation and benefits,0,13,1,12,Travel_Rarely,3,Marketing,3,6,3,3,3
26,Male,No,CSA,1,Married,2380,0,57,4,4,No,"Issues with management, Work-related stress, Compensation and benefits",0,12,1,7,Travel_Rarely,4,Business Administration,3,7,2,3,2
35,Male,Yes,Applied science,1,Divorced,4765,0,55,5,2,No,Issues with management,1,11,4,12,Travel_Frequently,3,Communications,3,0,3,3,1
34,Male,No,B.E.,4,Married,2044,2,49,4,3,Yes,Lack of carrer growth,1,19,4,1,Travel_Rarely,4,Computer Science,2,0,3,4,1
26,Male,No,CSA,3,Single,2693,0,65,4,4,Yes,Compensation and benefits,4,21,2,6,Travel_Frequently,2,Information Technology,2,9,3,3,1
37,Male,No,CSA,2,Divorced,6586,8,68,3,4,No,"Work-related stress, Compensation and benefits",1,12,4,8,Travel_Rarely,4,Marketing,4,6,3,4,1
46,Female,No,Applied science,1,Married,3294,2,65,2,4,Yes,Compensation and benefits,2,14,4,9,Travel_Frequently,3,Business Administration,4,20,3,3,2
41,Female,Yes,B.E.,2,Single,4171,2,34,4,3,No,Compensation and benefits,7,11,2,5,Travel_Rarely,2,Communications,3,15,3,3,2
37,Male,No,CSA,1,Single,2778,7,57,1,4,Yes,"Lack of carrer growth, ",1,14,4,5,Travel_Rarely,3,Computer Science,2,36,3,3,3
52,Female,Yes,B.E.,4,Single,2377,2,77,3,3,Yes,Lack of carrer growth,1,12,2,7,Travel_Rarely,1,Information Technology,3,10,3,3,2
32,Female,Yes,CSA,4,Single,2404,2,70,5,1,No,"Work-related stress, Compensation and benefits",3,23,4,7,Travel_Frequently,4,Marketing,1,5,2,3,1
24,Female,No,Applied science,4,Divorced,2318,1,76,4,3,No,Compensation and benefits,3,14,3,21,Travel_Rarely,1,Business Administration,2,5,3,3,1
38,Male,No,B.E.,3,Single,2008,0,83,5,2,No,"Issues with management, Work-related stress, Lack of carrer growth",1,17,3,6,Travel_Frequently,2,Communications,2,3,2,3,1
37,Male,No,CSA,2,Married,6244,4,68,5,3,No,Issues with management,1,18,2,7,Travel_Rarely,2,Computer Science,3,5,3,3,2
49,Male,Yes,CSA,4,Married,2799,2,55,4,1,No,Work-related stress,3,18,3,21,Travel_Frequently,2,Information Technology,2,7,2,3,1
24,Male,No,Applied science,2,Married,10552,0,37,1,2,No,"Issues with management, Work-related stress, Compensation and benefits",1,24,2,7,Travel_Frequently,3,Marketing,3,8,2,3,2
26,Female,Yes,B.E.,1,Single,2329,7,41,4,3,No,"Better job opportunities, Issues with management, Work-related stress, Lack of carrer growth",1,20,4,12,Travel_Rarely,3,Business Administration,3,6,2,4,3
24,Male,No,CSA,4,Married,4014,6,51,5,4,Yes,Issues with management,3,14,4,6,Travel_Rarely,4,Communications,3,10,3,3,2
50,Female,No,B.E.,1,Single,7403,9,51,4,2,No,Compensation and benefits,9,16,3,7,Travel_Frequently,4,Computer Science,1,5,2,3,1
25,Male,Yes,Applied science,2,Married,2259,0,51,4,3,No,"Issues with management, Work-related stress, Compensation and benefits",2,25,3,8,Travel_Rarely,2,Information Technology,3,20,2,3,2
24,Male,No,CSA,1,Married,6932,8,45,3,3,No,Compensation and benefits,1,18,4,9,Travel_Rarely,4,Marketing,3,10,3,3,4
30,Female,No,CSA,2,Single,4678,2,65,5,4,Yes,Work-related stress,9,19,3,6,Travel_Rarely,3,Business Administration,3,10,2,3,2
34,Female,Yes,B.E.,2,Married,13582,12,80,3,1,Yes,Work-related stress,4,13,4,16,Travel_Rarely,3,Communications,3,5,2,3,1
31,Male,Yes,Applied science,2,Single,2332,0,70,4,2,Yes,Issues with management,1,12,3,5,Travel_Rarely,4,Computer Science,3,17,3,4,1
35,Male,No,B.E.,1,Married,2413,0,36,5,2,No,"Better job opportunities, Issues with management",1,22,4,9,Travel_Rarely,3,Information Technology,2,1,4,3,1
31,Female,Yes,CSA,1,Married,9705,0,67,5,2,Yes,Work-related stress,1,14,4,2,Non-Travel,3,Marketing,3,2,2,3,3
27,Male,No,Applied science,1,Married,4294,7,52,5,1,No,"Better job opportunities, Work-related stress",5,13,3,6,Travel_Rarely,3,Business Administration,2,3,3,4,1
37,Male,Yes,CSA,4,Divorced,4721,13,59,5,1,Yes,"Compensation and benefits, Lack of carrer growth",1,21,3,10,Travel_Rarely,3,Communications,4,5,1,3,1
20,Female,No,B.E.,4,Married,2519,8,79,5,3,No,Work-related stress,0,11,4,18,Non-Travel,4,Computer Science,3,3,3,3,2
42,Male,Yes,CSA,3,Married,2121,0,37,3,2,Yes,Compensation and benefits,4,12,2,12,Travel_Rarely,3,Information Technology,2,8,3,3,1
43,Male,No,Applied science,2,Divorced,2973,0,84,5,1,No,"Better job opportunities, Work-related stress",5,11,3,7,Travel_Rarely,4,Marketing,3,2,2,3,2
38,Male,No,CSA,3,Married,5855,7,41,4,4,No,Compensation and benefits,1,12,4,3,Travel_Frequently,3,Business Administration,3,8,2,3,4
43,Male,Yes,Applied science,4,Married,3617,1,35,2,2,No,"Issues with management, Work-related stress, Lack of carrer growth",1,12,2,8,Travel_Rarely,2,Communications,3,4,3,4,2
48,Male,Yes,CSA,4,Married,6725,7,93,4,1,Yes,Compensation and benefits,0,14,1,7,Travel_Frequently,3,Computer Science,3,20,2,3,5
44,Male,No,B.E.,1,Married,10325,7,51,5,4,No,Work-related stress,4,13,2,10,Travel_Rarely,3,Information Technology,3,0,3,3,2
34,Male,No,B.E.,3,Married,6949,0,42,4,4,No,"Issues with management, Compensation and benefits",0,15,4,12,Travel_Frequently,4,Marketing,2,11,3,3,2
27,Male,No,CSA,3,Married,10609,1,46,4,3,No,Work-related stress,7,18,2,20,Travel_Rarely,3,Business Administration,2,1,2,4,1
21,Male,No,Applied science,3,Single,4447,7,57,5,2,No,Lack of carrer growth,1,18,3,7,Travel_Rarely,2,Communications,3,4,3,3,2
44,Male,No,CSA,4,Married,2157,1,84,5,4,Yes,"Better job opportunities, Issues with management",3,19,1,6,Travel_Rarely,4,Computer Science,2,22,3,3,2
22,Male,No,B.E.,1,Single,4601,2,86,3,3,No,Compensation and benefits,2,12,4,5,Travel_Rarely,4,Information Technology,3,0,2,3,2
33,Female,No,B.E.,3,Single,17099,8,70,5,4,Yes,Compensation and benefits,0,19,4,7,Travel_Rarely,3,Marketing,3,8,3,3,1
32,Male,No,Applied science,1,Single,2479,0,51,4,3,No,Better job opportunities,3,11,4,2,Travel_Rarely,3,Business Administration,3,8,2,3,5
30,Male,No,B.E.,3,Single,14852,13,45,5,3,No,Issues with management,1,17,3,6,Travel_Rarely,4,Communications,3,18,3,3,4
53,Male,No,CSA,4,Single,7264,4,62,4,3,No,Lack of carrer growth,0,15,4,2,Travel_Rarely,4,Computer Science,3,9,3,3,2
34,Female,No,Applied science,2,Married,5666,3,85,4,4,No,Work-related stress,6,14,4,22,Travel_Rarely,1,Information Technology,1,13,2,3,3
45,Male,No,B.E.,1,Single,7823,9,92,4,4,Yes,Compensation and benefits,1,17,4,7,Travel_Frequently,4,Marketing,3,10,4,3,2
26,Male,No,CSA,3,Single,7880,7,41,4,3,No,Better job opportunities,0,13,3,5,Travel_Frequently,2,Business Administration,3,5,2,3,1
37,Male,Yes,CSA,3,Married,13194,0,45,4,2,No,"Issues with management, Work-related stress",7,12,3,6,Travel_Rarely,4,Communications,3,5,3,3,3
29,Male,Yes,B.E.,2,Married,5067,10,64,3,3,No,Issues with management,2,12,1,8,Travel_Frequently,3,Computer Science,3,2,2,4,1
35,Male,No,Applied science,2,Divorced,5079,7,84,4,4,No,Better job opportunities,1,18,2,4,Travel_Rarely,2,Information Technology,2,24,3,3,4
33,Female,No,B.E.,3,Married,2321,2,46,3,1,No,Better job opportunities,1,18,3,5,Travel_Frequently,3,Marketing,2,2,3,3,2
54,Male,Yes,CSA,3,Single,17444,8,38,3,3,No,"Issues with management, Work-related stress",1,11,3,7,Non-Travel,3,Business Administration,3,10,3,4,2
36,Male,No,Applied science,2,Married,2404,0,92,2,1,No,Lack of carrer growth,4,14,3,5,Travel_Frequently,4,Communications,3,21,3,3,5
27,Male,Yes,CSA,1,Married,3452,2,53,3,4,No,Compensation and benefits,7,19,4,14,Travel_Rarely,4,Computer Science,3,8,3,3,2
20,Male,No,B.E.,4,Single,2270,3,91,3,4,Yes,Better job opportunities,5,12,4,9,Travel_Rarely,2,Information Technology,2,7,3,3,2
33,Male,Yes,Applied science,1,Divorced,17399,4,66,2,4,Yes,Issues with management,1,15,1,1,Travel_Rarely,2,Marketing,2,8,2,3,1
35,Male,No,B.E.,3,Single,5488,5,84,4,2,No,"Work-related stress, Compensation and benefits, Lack of carrer growth",1,12,3,6,Travel_Rarely,2,Business Administration,3,4,2,3,1
23,Male,Yes,CSA,1,Married,19419,16,64,5,3,Yes,"Issues with management, Work-related stress, Compensation and benefits",1,11,1,7,Travel_Rarely,2,Communications,3,13,3,4,1
25,Male,Yes,B.E.,4,Divorced,2811,2,37,4,2,Yes,Lack of carrer growth,4,11,3,6,Travel_Rarely,3,Computer Science,3,5,3,3,5
38,Female,Yes,Applied science,4,Single,3633,8,42,4,1,No,"Better job opportunities, Lack of carrer growth",3,12,1,6,Travel_Rarely,5,Information Technology,2,7,4,4,1
29,Male,No,CSA,2,Married,4163,0,83,3,4,No,Work-related stress,4,16,4,8,Travel_Rarely,4,Marketing,2,7,2,3,1
48,Male,No,B.E.,2,Married,2132,2,48,2,3,No,"Issues with management, Work-related stress, Lack of carrer growth",1,13,4,8,Travel_Rarely,1,Business Administration,3,3,3,3,3
27,Male,Yes,CSA,4,Divorced,13973,11,95,5,3,No,Compensation and benefits,0,13,2,20,Travel_Rarely,4,Communications,4,10,2,3,1
37,Male,No,Applied science,4,Single,2684,1,66,4,3,No,"Issues with management, Work-related stress, Compensation and benefits",3,24,1,8,Travel_Rarely,3,Computer Science,3,10,3,3,1
50,Male,No,CSA,4,Married,10845,7,75,4,3,Yes,Issues with management,8,15,3,0,Travel_Rarely,4,Information Technology,2,21,3,3,3
34,Male,No,CSA,4,Married,4377,2,41,4,3,Yes,Compensation and benefits,9,18,2,5,Travel_Rarely,2,Marketing,2,1,1,3,4
24,Male,Yes,B.E.,1,Married,3743,2,39,4,2,Yes,"Issues with management, Work-related stress, Compensation and benefits",2,14,1,7,Travel_Rarely,4,Business Administration,3,7,2,3,4
39,Male,No,B.E.,4,Single,4148,3,96,4,1,No,Lack of carrer growth,1,11,1,23,Travel_Frequently,5,Communications,2,3,4,3,1
32,Male,No,CSA,4,Single,1051,0,73,3,4,No,Work-related stress,0,11,4,5,Travel_Rarely,3,Computer Science,2,9,2,3,3
50,Female,No,Applied science,2,Single,10739,7,56,4,3,No,Issues with management,1,13,1,0,Non-Travel,4,Information Technology,3,5,3,3,2
38,Female,Yes,B.E.,2,Married,10388,10,57,3,3,No,"Work-related stress, Lack of carrer growth",1,12,3,8,Travel_Rarely,2,Marketing,3,4,3,3,4
27,Female,No,CSA,3,Single,11416,7,73,3,1,No,Work-related stress,7,16,4,1,Travel_Rarely,2,Business Administration,3,1,3,3,1
32,Male,No,B.E.,3,Single,2600,0,98,2,1,No,Compensation and benefits,0,14,4,8,Travel_Rarely,4,Communications,2,10,3,3,2
47,Male,No,Applied science,4,Single,2422,2,60,3,2,No,Compensation and benefits,1,22,4,5,Travel_Rarely,1,Computer Science,3,4,2,3,1
40,Male,Yes,B.E.,4,Single,5472,7,32,3,4,Yes,Better job opportunities,1,11,3,5,Non-Travel,4,Information Technology,2,7,2,3,3
53,Male,Yes,CSA,3,Single,2451,3,94,2,1,Yes,Lack of carrer growth,0,17,3,0,Travel_Rarely,1,Marketing,3,3,3,4,3
41,Male,No,B.E.,2,Married,4240,2,97,4,3,Yes,Lack of carrer growth,1,13,2,0,Travel_Rarely,3,Business Administration,3,10,3,3,3
60,Male,No,Applied science,1,Single,10999,11,78,5,3,No,Better job opportunities,6,18,4,7,Travel_Frequently,1,Communications,2,8,2,3,1
27,Male,No,B.E.,4,Married,5003,2,42,4,3,Yes,Lack of carrer growth,3,16,3,0,Non-Travel,5,Computer Science,3,6,3,3,1
41,Male,No,CSA,4,Single,12742,6,65,4,4,No,Better job opportunities,2,14,2,13,Travel_Frequently,3,Information Technology,3,11,3,3,3
50,Male,Yes,B.E.,4,Married,4227,2,47,3,4,Yes,Better job opportunities,1,14,4,0,Travel_Rarely,1,Marketing,3,11,3,3,3
28,Male,Yes,CSA,1,Divorced,3917,2,45,2,4,Yes,Compensation and benefits,0,14,4,0,Travel_Rarely,3,Business Administration,2,7,2,3,3
36,Male,Yes,Applied science,1,Single,18303,0,90,4,3,Yes,Work-related stress,1,13,1,0,Non-Travel,1,Communications,3,16,3,3,1
38,Female,No,CSA,3,Single,2380,0,64,1,4,No,"Better job opportunities, Compensation and benefits",3,12,4,5,Travel_Rarely,3,Computer Science,3,4,3,3,3
44,Male,No,Applied science,1,Married,13726,3,69,3,4,Yes,"Work-related stress, Compensation and benefits",4,15,3,8,Travel_Rarely,2,Information Technology,1,5,4,3,1
47,Male,Yes,CSA,4,Married,4777,0,61,5,2,No,Issues with management,7,19,4,0,Non-Travel,3,Marketing,3,0,2,3,2
30,Male,No,B.E.,3,Married,6385,7,62,4,2,Yes,Compensation and benefits,1,14,4,8,Travel_Frequently,4,Business Administration,4,1,2,4,4
